Country,Long-Term Distance Correlation (2 years),Long-Term Distance Correlation (5 years),Long-Term Distance Correlation (10 years),Year,Long-Term Population Change (2 years),Long-Term Population Change (5 years),Long-Term Population Change (10 years),Short-Term Disaster Count
Zimbabwe,0.4010530896739791,0.39855706748009956,0.17409769137865133,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]","[ 952134.3372549  1016684.30588235  163796.56078431 -353339.90196078
 -384901.94901961  121442.30196078 -755193.79607843 -786071.25490196
  254021.23137255  586100.44705882 1135619.37254902  891409.68627451
  633484.67058823  892196.71372549  669065.30196078 -343781.65882353
 -435500.36078431  390225.31764706       0.        ]","[  677315.55294118   717057.8         -153376.48235294 -1054820.30196078
 -1103244.29803922  -447459.16862745  -132241.90196078   566717.90196079
  1507580.77647058  1976736.22352941  2150160.39607843  2063190.40784313
   679184.30588235   736280.36078432   435924.95294118        0.
        0.                0.                0.        ]","[ 229856.38431373  584815.89803921  413341.41960784  436387.62352941
  865232.21960784 1694878.46274509 1906779.18431372 1218690.09019608
 2243861.1372549  2412661.17647059       0.               0.
       0.               0.               0.               0.
       0.               0.               0.        ]",[0 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0]
Mozambique,0.2647333238342594,0.2628274312388934,0.5101662603322039,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]","[-1479490.19607843  -675983.56078431  1502889.46666667   647255.59215686
  1135864.43921569  1193270.48235294   585266.93333333   707018.63529412
   755429.52549019  1114784.94509804  1261988.76078431   978712.58431373
   973698.50980392  1029653.45490196  1067588.36078431  1129620.55686275
  1177626.12156863  2364540.0745098         0.        ]","[ 232903.00392157  897762.76862745 2903544.76470589 2156268.30588235
 2110003.21960785 2264223.9372549  2091117.43529412 2333372.36470589
 2411135.83529412 2580527.1254902  2745960.01176471 2545707.68627451
 2633310.02352941 2742507.34509804 4022899.31372548       0.
       0.               0.               0.        ]","[2501193.82745097 2991654.33333333 5234638.34117646 4559071.47843137
 4616942.08235294 4880545.97254902 4509230.00392157 4874665.0117647
 5153643.18039216 6603427.34509805       0.               0.
       0.               0.               0.               0.
       0.               0.               0.        ]",[0 1 1 1 0 1 1 1 1 0 1 0 0 0 0 0 1 0 0]
Sudan,0.20565635520960143,0.2051240902664915,0.14264097933985653,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]","[1172399.39607843 1327069.39607843 2555035.80392157 1489962.19215686
  338408.21176471 -591024.60784314 -703603.05098039 1192704.31372549
 1037768.30980392 1230293.0627451  -409077.67058824 -623337.16078431
 1137676.38039216 1063230.29803922  960810.05882353  955880.24313726
 5340417.10980391 5873872.05098039       0.        ]","[3356922.75294118 3525960.56470588 1593484.25882353 1495288.71372549
  231156.48627451 1043096.69019608 1123041.3372549  1225043.62745098
 1230117.09411765 1188153.27843138 1234508.35686275  899946.22745098
 2594124.3372549  6863686.38823529 7330364.83137254       0.
       0.               0.               0.        ]","[4400004.45490196 4648991.31764706 2818536.17647059 2750846.37647059
 1431978.08627451 2292008.13725491 2048538.85882353 3843017.12941178
 8093684.02352942 8518303.06274511       0.               0.
       0.               0.               0.               0.
       0.               0.               0.        ]",[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
Malawi,0.18804709444128212,0.2278427871679504,0.12520303812667374,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]","[ 889734.14509804 1076994.41960784  580587.24705882  927527.85882353
 1126880.34117647  729944.48235294  570082.94509804 1235505.29803921
 1291936.80392156  722660.42745098  768495.00784314  754911.87058824
  885204.02352941 1022135.08627451 1024423.23137255 1053794.67058824
 1081675.63921569 1115400.76862745       0.        ]","[2153434.79215687 2448449.20392156 1993645.12941176 1941351.82352941
 2648377.27450981 2305946.67450981 2244183.28235294 2344497.2
 2406322.61568628 1968837.14509804 2154567.93725491 2291090.98431372
 2449377.89803922 2617854.75294118 2679574.64313726       0.
       0.               0.               0.        ]","[4459381.46666667 4692632.48627451 4338142.32941177 4347660.83921569
 4621345.47843136 4446588.74117647 4511770.10588236 4768597.8862745
 5024177.36862747 4648411.7882353        0.               0.
       0.               0.               0.               0.
       0.               0.               0.        ]",[0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0]
Ethiopia,0.3142346471559312,0.17908767986248073,0.08439020689488168,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]","[ 900277.10980393  586304.0745098  5209869.97647059 5676870.61568628
 3015871.43529412 2937470.56470589 6716488.26666666 7519627.83137254
 4651195.95294118 4528072.23529412 2435533.22745098 2466450.75686275
 4633097.17647059 4807874.83137255 4992287.91372549 5120810.35686274
 7131669.05490197 2583313.0509804        0.        ]","[ 7693040.71764707  7696162.67058825  9730223.99607845 13826346.86274512
 12039981.85098038 12800672.2        13552182.65098039 12298734.8627451
  9343824.32941178  9417161.63529412  9527733.32549019  9811966.5764706
 12208554.45882354 14477184.8745098  10158770.61568626        0.
        0.                0.                0.        ]","[20493691.65882351 21248345.32156861 22028958.91372551 23134097.04313729
 21365134.79999999 22300047.82352943 23430313.86666667 24505193.32941178
 23821009.10980394 19575932.15686274        0.                0.
        0.                0.                0.                0.
        0.                0.                0.        ]",[0 0 0 1 0 1 0 0 1 1 0 1 1 0 0 1 0 0 0]
Mauritania,0.1993395228775955,0.13121350357219408,0.16969984760820098,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]","[ 145086.44705882  149428.50980392  159827.16862745  162519.74117647
  190455.88235294  175725.77647059  148464.56078431 -127205.64705882
 -141643.91372549  127338.23529412  111192.2745098   136827.60784314
  126762.90196078  143116.03529412  167879.32941176  156014.89019608
  132546.4745098   137241.71764706       0.        ]","[387623.56078431 419700.08627451 418258.36470588 418734.21568628
 131225.82352941 114570.83529412  68108.17647059  50037.33333333
  52818.23137255 319854.70588235 339890.85490196 363583.56862745
 366987.55686274 359289.70196078 377492.4627451       0.
      0.              0.              0.        ]","[502194.39607843 487808.72941177 468280.3254902  462803.94117647
 442149.43921569 445439.96078431 421196.22745098 432007.89803922
 412107.93333333 697287.50588235      0.              0.
      0.              0.              0.              0.
      0.              0.              0.        ]",[0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0]
Mali,0.34711354485774093,0.3208603417477951,0.11466814990860938,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]","[ 524256.11764706  539943.51764706  609384.85490196 -138565.22745098
 -258003.53333333  479463.50980392  546290.78431373 1235764.66666667
 1240753.35686275  593669.16470588 1454422.55686275 1560737.7254902
  833131.02745098  869997.66666667  884024.46666667  785983.33333333
  840368.70196078  964310.81568628       0.        ]","[ 664360.85098039  612654.87843137  619568.24313725  619002.14509804
 1245948.05490196 1998320.72941177 2097620.75294118 2973279.77647059
 3175873.72156862 2636042.24313725 2743274.72156862 2868296.24705882
 2065577.97254902 2147927.22352941 2196757.76078431       0.
       0.               0.               0.        ]","[2662681.58039216 2710275.63137254 3592848.01960784 3736598.2235294
 3903534.69803921 4816411.13333334 5037943.52156863 5117097.09019608
 5323800.94509802 4832800.00392159       0.               0.
       0.               0.               0.               0.
       0.               0.               0.        ]",[0 1 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0]
Algeria,0.45906999743960647,0.23879429252341292,0.23333012506685236,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]","[ 958505.74509804  871347.20784314 -120316.07058824 -238904.88235294
  674560.9254902   850686.70588235  864945.63137255  711417.98039216
  708292.30980392  706055.09411765 2374576.70588236 2598321.04705883
 1219911.02745098 1272572.87450981 1253368.01960784 1253000.45490196
 1210822.24705882 1145205.03921569       0.        ]","[1169693.21176471  974225.51372549 1061919.80392157  969157.64313726
 1893651.14509804 1916311.50980392 1925086.2117647  3440201.50980392
 3642156.65490196 3941991.48627451 4220954.54117647 4490417.32156863
 3106331.         3102589.06666667 3031993.73333333       0.
       0.               0.               0.        ]","[3085994.40392156 2887532.78823529 4502055.60784314 4427445.83529412
 5680534.99215686 6005365.0745098  6285436.67450981 6522223.50588236
 6744450.02745098 6973176.88235294       0.               0.
       0.               0.               0.               0.
       0.               0.               0.        ]",[0 0 0 7 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]
Uganda,0.21584962463364057,0.24369710890218826,0.24646258868678841,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]","[1230594.44705883 1459308.92941176 1529132.65490196 1373343.03137255
 2383468.95686275 2446258.11372548 1688182.74901961 1870770.30196078
 1760533.11372549 1894096.16078431 1112260.11764706  208702.75686275
 1184345.59607843 1999738.89803921 2076819.10980392 2183301.
 2239165.85490196 2001714.47843137       0.        ]","[3460436.42745098 4548653.59215686 4657204.09411767 4754825.63529412
 4971398.5372549  5118682.49411763 4513356.45882353 3811005.49803922
 3241024.88235294 3068588.51372549 3226109.93333333 3279763.05490196
 4373350.85882353 5305926.6        5185563.74117648       0.
       0.               0.               0.        ]","[8575670.56862743 9027399.74901961 8411495.91372549 8016016.82745098
 8309099.68235293 8619150.90588234 8032366.75686273 8365794.98431372
 8546869.48235293 8254115.25490196       0.               0.
       0.               0.               0.               0.
       0.               0.               0.        ]",[0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0]
Madagascar,0.23678042526792614,0.08519210612559253,0.09083695066798618,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]","[ 984253.55686274  888561.96470588  846646.47843137  855924.59607843
 1137302.95294118 1191790.74509804  989637.56078431 1018827.36862745
 1064266.76470588 1095512.41568627  579631.41568627  552649.50588235
  994462.24313726  996086.40392157  966037.35686274  966154.00392157
 1021483.5254902  1075608.92941176       0.        ]","[2263896.39607843 2440485.76862745 2469475.29019608 2545971.65490196
 2647331.72941177 2754353.59215687 2605585.88627451 2142289.63921569
 2181877.20784314 2164949.22352941 2096212.77647059 2022207.16862745
 2440820.83529411 2478815.33333333 2516991.28627451       0.
       0.               0.               0.        ]","[5017014.03137255 5043789.40392157 4596883.14509803 4704565.6509804
 4834016.3882353  4874642.81568628 4643325.50196079 4631767.00392156
 4656152.98431372 4677279.5254902        0.               0.
       0.               0.               0.               0.
       0.               0.               0.        ]",[1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0]
Kenya,0.2930828779156458,0.2089932772151714,0.07295270806278135,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]","[  768147.72941176   809565.91372549  1518185.52549019  1878275.41960784
  2420216.05882353  2498408.87058823  1699257.76078431  1842491.34509804
  1832679.17647059  2437437.43529413 -1132585.55294118  1723898.04313725
  5504813.94509803  1663127.20392157  1522836.77254902  1422318.03921568
  1378717.27843137  4003708.40392157        0.        ]","[3041881.74509803 4403304.96078431 4738866.90196079 5275476.50980392
 5063173.31372548 5229879.49019608 5079796.61568627 1594024.43921569
 5019997.31764707 5016165.50980395 4926726.49411766 4116544.16862746
 7719341.34901961 3769948.98431373 6217916.66666668       0.
       0.               0.               0.        ]","[ 8248061.61568628  9471245.40392156  6334613.87843138 10483614.77647056
 10223524.35294114 10294184.36078432  9342720.0392157   8977479.41568628
  8758692.74901962 11233923.49411765        0.                0.
        0.                0.                0.                0.
        0.                0.                0.        ]",[0 0 0 0 1 1 0 0 1 0 0 1 0 0 1 0 1 0 0]
Senegal,0.1483253633778646,0.21863331892370877,0.24498340182295336,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]","[ 361161.84705882  302741.83921569  506666.37647059 1003302.67058823
 1104791.69411766  668980.43921568  575125.35294117 1016368.56862745
 -430370.51764706 -885846.9372549   538746.42352941  535580.74509804
  579839.7254902   583551.61568628  548763.7372549   567646.54117647
  555100.31764706  565082.3372549        0.        ]","[1588400.19607843 1691574.32941176 1893170.24313726 1959602.76470588
 2406629.08235294  528394.50196078  415908.47058823  398114.41960784
  366692.16470588  -48730.32941176 1387780.7254902  1394594.07843137
 1420110.35686275 1414157.01960785 1405463.3882353        0.
       0.               0.               0.        ]","[2116341.9254902  2107442.72156862 2292268.78823529 2343378.01960785
 2378924.30588236 1921423.26666667 1809944.64705882 1814989.49019608
 1780737.55686275 1356644.80784314       0.               0.
       0.               0.               0.               0.
       0.               0.               0.        ]",[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0]
