Country,Short-Term Distance Correlation,Year,Short-Term Population Change,Short-Term Disaster Count
Zimbabwe,0.4653676528021236,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]","[  13971.14901961  938163.18823529   78521.11764706   85275.44313726
 -438615.34509804   53713.39607843   67728.90588235 -822922.70196079
   36851.44705882  217169.78431373  368930.6627451   766688.70980392
  130769.25098039  502715.41960784  389481.29411765  279584.00784314
 -623365.66666667  187865.30588235  202360.01176471]",[1 0 0 1 0 0 0 2 0 0 0 0 0 0 3 0 1 0 0]
Mozambique,0.4268673656745288,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]","[  259591.58431372 -1739101.2627451   1062950.6745098    439921.52941176
   212184.99215686   924017.80392157   269312.85490196   315954.07843137
   391064.55686275   364364.96862745   750419.97647059   511568.78431373
   474292.6745098    499405.83529412   530246.71372549   537523.09411765
   593008.17254902   584654.75686274  1780121.65490196]",[11 12  0 16  0  6  0 27  7  0  8  0  7  0  0  1  2  1  1]
Sudan,0.43602924392591624,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]","[  539893.24705882   632513.44705882   694548.53333333  1860487.27058823
  -370523.21960784   708931.43137255 -1299956.03921569   596352.98823529
   596351.3254902    441416.98431372   788876.07843137 -1197953.74901961
   575097.97254902   562578.40784314   500666.1254902    460165.98823529
   495720.60392157  4844696.50588235  1029175.54509804]",[0 2 1 3 0 0 0 5 0 2 2 0 3 4 5 1 1 1 2]
Malawi,0.34670413068362704,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]","[148912.51372549 740821.63137255 336172.78823529 244414.45882353
 683113.4        443926.9254902  286017.55686274 284065.38823529
 951439.90980392 340496.89411765 382163.53333333 386331.4745098
 373448.14117647 511755.88235294 510379.20392157 514044.02745098
 539750.64313725 541924.99607843 573475.77254902]",[ 0  1 12  5  0  3  0  8  1  0  0  1  3  1  0 13  0  0  1]
Ethiopia,0.342086650670714,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]","[ 1429847.96862745  -529578.74117647  1115882.81568627  4093987.16078432
  1582883.45490196  1432987.98039215  1504482.58431373  5212005.68235294
  2307622.14901961  2343573.80392157  2184498.43137255   251034.79607843
  2279869.27058823  2353227.90588235  2454646.92549019  2537640.98823529
  2583169.36862745  4548499.40392155 -1965186.35294118]",[0 1 2 0 0 3 7 5 2 0 2 1 0 1 0 0 0 0 0]
Mauritania,0.2416322712214503,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]","[  75679.28235294   69414.83137255   80012.35686275   79814.04705882
   82705.69411765  107750.18823529   67975.58823529   80488.97254902
 -207694.61960784   66050.70588235   61287.52941176   49903.81176471
   67868.08627451   58894.81568627   84234.56862745   83644.76078431
   72370.12941176   60176.4745098    77065.24313726]",[0 0 4 3 0 1 1 1 0 0 1 0 0 1 0 0 0 0 0]
Mali,0.4684795386059411,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]","[ 262982.56078431  261273.55686275  278669.96078431  330714.89411765
 -469280.12156863  211276.58823529  268186.92156863  278103.8627451
  957660.80392157  283092.55294118  310576.61176471 1143845.94509805
  409596.97254902  423534.05490196  446463.6117647   437560.85490196
  348422.47843137  491946.22352941  472364.59215686]",[0 5 2 2 0 1 1 5 0 1 7 0 0 0 0 0 1 0 0]
Algeria,0.45185937112173036,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]","[ 537195.36862745  421725.02745098  450085.70980392 -570401.78039216
  331496.89803922  343073.56862745  507613.1372549   357332.49411765
  354085.48627451  354206.82352941  351848.27058824 2022781.63529412
  581076.94509804  638834.08235294  633788.45098039  619579.56862745
  633420.88627451  577401.57254902  567803.64313725]",[ 0 33  4 10  2  1  0 15  0 10  0  0  3  0  0  1  0  0  1]
Uganda,0.3660835694525251,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]","[ 610321.46666667  620270.98039216  839037.94901961  690094.70588235
  683790.3254902  1697429.63137255  749956.48235294  938223.26666667
  932547.03529412  827987.07843137 1066128.1254902    46223.84313725
  190527.96078431  993814.63529412 1005952.2627451  1071668.84705882
 1111728.15294118 1127547.70196079  874166.77647059]",[ 0  0  4  1  0  0  7 21  8  0  0 10  2  0  0  0  1  1  0]
Madagascar,0.3620332922650359,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]","[523619.7372549  460479.26666667 427536.25098039 418994.83921569
 436924.54509804 700425.8        491246.10196078 498391.45882353
 520435.90980392 543830.85490196 551681.56078431  26839.24313725
 490566.5372549  503920.02352941 492166.38039216 477414.18039216
 489107.89411765 532375.63137255 543245.45490196]",[10  0  2  1  4  1  0  3  3  6  0  6  1  2  0 11  0  0  2]
