disasterno,Country,Location,Disaster type,Date,Year,Total deaths,Latitude,Longitude
1999-9388,Djibouti, Dikhil,Drought,2001-01-06,2001,0.0,11.37115072,42.18971484
1999-9388,Djibouti, Tadjourah provinces,Drought,2001-01-06,2001,0.0,12.00932353,42.52597143
1999-9388,Djibouti, Djibouti,Drought,2001-01-06,2001,0.0,11.50868761,43.00654874
1999-9388,Djibouti, Obock,Drought,2001-01-06,2001,0.0,12.27893776,43.08595471
1999-9388,Djibouti,Ali Sabieh,Drought,2001-01-06,2001,0.0,11.24525574,42.90894354
1999-9388,Djibouti, Dikhil,Drought,2001-01-06,2001,0.0,11.37115072,42.18971484
1999-9388,Djibouti, Tadjourah provinces,Drought,2001-01-06,2001,0.0,12.00932353,42.52597143
1999-9388,Djibouti, Djibouti,Drought,2001-01-06,2001,0.0,11.50868761,43.00654874
1999-9388,Djibouti, Obock,Drought,2001-01-06,2001,0.0,12.27893776,43.08595471
1999-9388,Djibouti,Ali Sabieh,Drought,2001-01-06,2001,0.0,11.24525574,42.90894354
1999-9388,Djibouti, Dikhil,Drought,2001-01-06,2001,0.0,11.37115072,42.18971484
1999-9388,Djibouti, Tadjourah provinces,Drought,2001-01-06,2001,0.0,12.00932353,42.52597143
1999-9388,Djibouti, Djibouti,Drought,2001-01-06,2001,0.0,11.50868761,43.00654874
1999-9388,Djibouti, Obock,Drought,2001-01-06,2001,0.0,12.27893776,43.08595471
1999-9388,Djibouti,Ali Sabieh,Drought,2001-01-06,2001,0.0,11.24525574,42.90894354
1999-9388,Djibouti, Dikhil,Drought,2001-01-06,2001,0.0,11.37115072,42.18971484
1999-9388,Djibouti, Tadjourah provinces,Drought,2001-01-06,2001,0.0,12.00932353,42.52597143
1999-9388,Djibouti, Djibouti,Drought,2001-01-06,2001,0.0,11.50868761,43.00654874
1999-9388,Djibouti, Obock,Drought,2001-01-06,2001,0.0,12.27893776,43.08595471
1999-9388,Djibouti,Ali Sabieh,Drought,2001-01-06,2001,0.0,11.24525574,42.90894354
1999-9388,Djibouti, Dikhil,Drought,2001-01-06,2001,0.0,11.37115072,42.18971484
1999-9388,Djibouti, Tadjourah provinces,Drought,2001-01-06,2001,0.0,12.00932353,42.52597143
1999-9388,Djibouti, Djibouti,Drought,2001-01-06,2001,0.0,11.50868761,43.00654874
1999-9388,Djibouti, Obock,Drought,2001-01-06,2001,0.0,12.27893776,43.08595471
1999-9388,Djibouti,Ali Sabieh,Drought,2001-01-06,2001,0.0,11.24525574,42.90894354
1999-9388,Sudan,Northern Darfur,Drought,2000-01-01,2000,0.0,12.34528025,23.438724
1999-9388,Sudan, Northern Kordofan,Drought,2000-01-01,2000,0.0,14.85324317,29.76498703
1999-9388,Sudan, Red Sea provinces,Drought,2000-01-01,2000,0.0,19.83255862,35.69897248
1999-9388,Sudan,Northern Darfur,Drought,2000-01-01,2000,0.0,12.34528025,23.438724
1999-9388,Sudan, Northern Kordofan,Drought,2000-01-01,2000,0.0,14.85324317,29.76498703
1999-9388,Sudan, Red Sea provinces,Drought,2000-01-01,2000,0.0,19.83255862,35.69897248
1999-9388,Sudan,Northern Darfur,Drought,2000-01-01,2000,0.0,12.34528025,23.438724
1999-9388,Sudan, Northern Kordofan,Drought,2000-01-01,2000,0.0,14.85324317,29.76498703
1999-9388,Sudan, Red Sea provinces,Drought,2000-01-01,2000,0.0,19.83255862,35.69897248
1999-9388,Somalia, Xudur districts ,Drought,2000-01-01,2000,21.0,4.185638255,43.89901433
1999-9388,Somalia, Garbahaarey,Drought,2000-01-01,2000,21.0,3.189444323,42.35918281
1999-9388,Somalia,Ceel Barde,Drought,2000-01-01,2000,21.0,4.663143716,43.99143085
1999-9388,Somalia, Rab Dhuure,Drought,2000-01-01,2000,21.0,4.233073115,43.20545925
1999-9388,Somalia, Baardheere districts ,Drought,2000-01-01,2000,21.0,2.084872858,41.70175634
1999-9388,Somalia, Tayeeglow,Drought,2000-01-01,2000,21.0,3.834896804,44.52430191
