disasterno,Country,Location,Disaster type,Year,Date,Total deaths,Latitude,Longitude
1999-9388,Djibouti,Ali Sabieh,Drought,2001,2001-06-01,0.0,11.24525574,42.90894354
1999-9388,Sudan,Northern Darfur,Drought,2000,2000-01-01,0.0,12.34528025,23.438724
1999-9388,Somalia,Ceel Barde,Drought,2000,2000-01-01,21.0,4.663143716,43.99143085
2000-0012,Mozambique,Matutuine,Flood,2000,2000-01-26,800.0,-26.52435974,32.56154951
2000-0012,Mozambique,Manhica,Flood,2000,2000-01-26,800.0,-25.30894953,32.82550277
2000-0012,Mozambique,Magude,Flood,2000,2000-01-26,800.0,-24.70185045,32.43940654
2000-0012,Mozambique,Chibuto,Flood,2000,2000-01-26,800.0,-24.30044317,33.61295063
2000-0012,Mozambique,Chokwe,Flood,2000,2000-01-26,800.0,-24.56177412,32.95529265
2000-0012,Mozambique,Inhambane,Flood,2000,2000-01-26,800.0,-22.80887901,34.51464613
2000-0012,Mozambique,Sofala,Flood,2000,2000-01-26,800.0,-19.06197641,34.67534108
2000-0012,Mozambique,Manica,Flood,2000,2000-01-26,800.0,-19.02183442,33.42940088
2000-0048,Botswana,Selibe-Phikwe,Flood,2000,2000-02-01,3.0,-21.97918814,27.84895927
2000-0083,Zimbabwe,Chimanimani,Flood,2000,2000-01-26,70.0,-19.77967026,32.72024341
2000-0107,Madagascar,Mahanoro,Storm,2000,2000-02-17,130.0,-20.03218541,48.51810197
2000-0107,Madagascar,Vatomandry,Storm,2000,2000-02-17,130.0,-19.36169202,48.77693924
2000-0107,Madagascar,Andramasina,Storm,2000,2000-02-17,130.0,-19.29995223,47.74641137
2000-0107,Madagascar,Ambatolampy,Storm,2000,2000-02-17,130.0,-19.45776525,47.56519102
2000-0107,Madagascar,Antalaha,Storm,2000,2000-02-17,130.0,-15.22264112,50.14276934
2000-0107,Madagascar,Sambava,Storm,2000,2000-02-17,130.0,-14.21476942,49.78464448
2000-0107,Madagascar,Andapa,Storm,2000,2000-02-17,130.0,-14.56811087,49.55531552
2000-0107,Madagascar,Morondava,Storm,2000,2000-02-17,130.0,-20.57918562,44.38249914
2000-0178,Madagascar,Antalaha,Storm,2000,2000-04-02,23.0,-15.22264112,50.14276934
2000-0178,Madagascar,Sambava,Storm,2000,2000-04-02,23.0,-14.21476942,49.78464448
2000-0178,Mozambique,Angoche,Storm,2000,2000-04-02,1.0,-16.08854415,39.80534615
2000-0178,Mozambique,Moma,Storm,2000,2000-04-02,1.0,-16.35531865,39.26942077
2000-0259,Somalia,Jowhar,Flood,2000,2000-05-01,0.0,2.984045536,45.56420233
2000-0501,Niger,Dosso,Flood,2000,2000-07-01,2.0,13.19825836,3.541820152
2000-0753,Mozambique,Zambezia,Storm,2000,2000-11-18,9.0,-16.65133304,36.98316268
2000-0841,Morocco,Tangiers,Flood,2000,2000-12-22,6.0,35.55198867,-5.903672566
2000-0841,Morocco,Chefchaouen,Flood,2000,2000-12-22,6.0,35.03866215,-5.100489265
2000-0841,Morocco,Settat,Flood,2000,2000-12-22,6.0,32.95825328,-7.46207695
2000-9309,Madagascar,Ambovombe-Androy,Drought,2000,2000-06-01,0.0,-24.8628715,45.77960465
2001-0019,Mozambique,Namacurra,Flood,2001,2001-01-01,79.0,-17.48051344,37.07546732
2001-0019,Mozambique,Pebane,Flood,2001,2001-01-01,79.0,-16.71857224,38.54005849
2001-0019,Mozambique,Maganja da Costa,Flood,2001,2001-01-01,79.0,-17.10548625,37.62560237
2001-0019,Mozambique,Morrumbala,Flood,2001,2001-01-01,79.0,-17.05499807,35.78947109
2001-0019,Mozambique,Mopeia,Flood,2001,2001-01-01,79.0,-17.83042469,36.05903694
2001-0019,Mozambique,Buzi,Flood,2001,2001-01-01,79.0,-20.02535278,34.35992179
2001-0019,Mozambique,Chibabava,Flood,2001,2001-01-01,79.0,-20.39074454,33.88663631
2001-0019,Mozambique,Marromeu,Flood,2001,2001-01-01,79.0,-18.43526513,35.75569246
2001-0019,Mozambique,Caia,Flood,2001,2001-01-01,79.0,-17.78400452,35.00329921
2001-0019,Mozambique,Zumbo,Flood,2001,2001-01-01,79.0,-15.22877349,30.93504634
2001-0019,Mozambique,Magoe,Flood,2001,2001-01-01,79.0,-15.90174503,31.36342602
2001-0019,Mozambique,Macanga,Flood,2001,2001-01-01,79.0,-14.80220221,33.53422828
2001-0025,Malawi,Chikwawa,Flood,2001,2001-01-01,59.0,-16.16437396,34.70894576
2001-0091,Zambia,Eastern,Flood,2001,2001-02-01,5.0,-13.60036646,31.88283639
2001-0146,Angola,Luacho,Flood,2001,2001-04-02,48.0,-13.1693539,13.11089543
2001-0146,Angola,Bibala,Flood,2001,2001-04-02,48.0,-14.68521714,13.14031506
2001-0146,Angola,Lubango,Flood,2001,2001-04-02,48.0,-14.73068596,13.83134184
2001-0146,Angola,Bengo province,Flood,2001,2001-04-02,48.0,-8.977544048,13.88121069
2001-0314,Ghana,Nsawam,Flood,2001,2001-06-27,12.0,5.810592442,-0.275714892
2001-0417,Sudan,Kassala,Flood,2001,2001-08-06,3.0,15.98884127,35.75058371
2001-0417,Sudan,Sennar,Flood,2001,2001-08-06,3.0,12.89651755,34.0528914
2001-0448,Ethiopia,Dubti,Flood,2001,2001-08-10,5.0,11.6841897,41.10159881
2001-0494,Nigeria,Jigawa,Flood,2001,2001-08-27,200.0,12.21567495,9.550513513
2001-0521,Chad,Logone Oriental,Flood,2001,2001-08-19,100.0,8.203300409,16.40898281
2001-0521,Chad,Salamat,Flood,2001,2001-08-19,100.0,10.81028419,20.58377886
2001-0524,Mali,Sikasso,Flood,2001,2001-08-18,2.0,11.43183956,-6.559005219
2001-0524,Mali,Kidal,Flood,2001,2001-08-18,2.0,19.47361032,1.144092946
2001-0524,Mali,Mopti,Flood,2001,2001-08-18,2.0,14.70486596,-3.512185674
2001-0524,Mali,Koulikoro,Flood,2001,2001-08-18,2.0,13.62428613,-7.645623989
2001-0524,Mali,Bamako,Flood,2001,2001-08-18,2.0,12.61101118,-7.977638549
2001-0620,Algeria,Ain Benian,Flood,2001,2001-11-10,921.0,36.35101602,2.37817825
2001-0620,Algeria,Bouzareah,Flood,2001,2001-11-10,921.0,36.78232484,3.021624121
2001-0620,Algeria,El Marsa,Flood,2001,2001-11-10,921.0,36.40397212,0.95661681
2001-0620,Algeria,Moussadek,Flood,2001,2001-11-10,921.0,36.34918407,1.028662332
2001-0620,Algeria,Tenes,Flood,2001,2001-11-10,921.0,36.50594893,1.325552719
2001-0620,Algeria,Sidi Abderrahmane,Flood,2001,2001-11-10,921.0,36.4778584,1.13605408
2001-0620,Algeria,Dahra,Flood,2001,2001-11-10,921.0,36.27282686,0.78596433
2001-0620,Algeria,Taougrit,Flood,2001,2001-11-10,921.0,36.28695636,0.927995317
